A1,A3,A2,A4
8.92,8.86,9.11,8.86
9.85,9.71,9.46,9.49
56.38,55.68,56.03,56.65
15.47,15.04,15.29,15.61
25.85,25.47,25.97,25.92
25.56,25.16,25.41,25.38
44.89,44.25,44.7,44.71
37.02,36.58,36.89,36.91
46.26,45.42,45.96,46
10.12,9.83,10.05,9.93
25.45,25.27,25.48,25.45
1.73,1.83,1.7,2.09
32.77,32.58,32.88,32.8
24.81,24.45,24.63,24.82
13.18,13.17,13.05,13.31
23.41,23.3,23.31,23.79
28.09,27.71,27.98,28.01
59.95,59.49,59.83,60.09
19.97,19.74,19.96,20.5
24.41,24.21,24.58,25.02
7.59,7.63,7.74,7.88
20.56,20.08,20.37,20.74
18.09,17.9,17.77,18.37
16.48,16.47,16.49,17.05
20.5,20.3,20.45,20.42
27.58,27.14,26.98,27.61
34.83,34.33,34.72,34.67
32.18,31.89,32.14,32.53
17.42,17.44,17.44,17.72
6.67,6.33,6.6,6.54
21.09,20.77,21.07,21.03
11.46,11.13,11.15,11.35
35.52,35.24,35.34,35.84
12.75,12.82,12.79,13.21
2.57,2.35,2.42,2.36
21.9,21.54,21.83,21.88
3.85,3.82,3.92,3.7
6.88,7.09,7.01,7.28
25.28,25.03,25.16,25.6
12.67,12.77,12.76,12.82
2.04,1.86,1.94,1.91
17.64,17.6,17.78,17.85
15.23,15.39,15.33,15.51
33.66,33.16,33.42,33.56
30.32,30.07,30.22,30.75
23.32,23.27,23.38,23.38
51.98,51.03,51.71,51.83
39.51,38.67,39.3,39.34
35.36,35.22,35.26,35.84
10.83,10.56,10.94,11.05
25.46,25.07,25.38,25.9
15.7,15.48,15.89,15.87
53.52,53.04,53.23,53.51
10.6,10.66,10.49,10.78
11.92,11.88,11.78,12.11
31.47,31.12,31.32,31.8
13.48,13.58,13.46,13.7
29.25,28.87,29.25,29.47
37.82,37.17,37.63,37.66
21.01,20.76,20.82,21.18
62.2,61.69,61.93,62.8
42.28,42.04,42.03,42.69
10.62,10.69,10.68,10.83
19.24,19.26,19.44,19.43
38.3,37.87,37.94,38.45
20.18,19.82,20.14,20.28
15.36,15.18,15.25,15.61
15.61,15.61,15.6,15.56
11.27,11.16,11.33,11.31
27.04,26.74,26.92,26.93
27.75,27.12,27.45,27.9
18.3,18.3,18.44,18.77
27.91,27.7,27.84,27.93
14.23,13.66,14.33,14.38
14.48,14.39,14.34,14.38
6.26,6.28,6.3,6.56
33.8,33.41,33.68,33.88
10.85,10.71,10.84,10.95
8.64,8.25,8.51,8.66
45.89,45.5,45.76,45.83
6.87,6.56,6.81,6.7
36.85,36.32,36.49,37.05
54.27,53.61,54.16,54.74
11.83,11.78,11.93,11.93
20.88,20.56,20.77,21.07
27.99,27.43,28.06,28.15
17.22,17.04,17.04,17.53
9.8,9.91,10.05,9.92
10.37,10.18,10.31,10.27
3.21,3.35,3.28,3.45
9.21,9.1,9.23,9.07
5.57,5.39,5.66,5.91
11.88,11.71,12.09,11.78
11.94,11.8,11.95,11.84
18.08,17.6,17.86,17.8
13.74,13.66,13.7,14.02
23.69,23.45,23.5,23.58
11.3,10.75,11.22,11.43
23.59,23.7,23.62,24.03
15.68,15.56,15.64,15.81
16.38,16.35,16.19,16.69
37.33,37.05,37.17,37.86
11.61,11.38,11.79,11.59
16.52,16.42,16.67,16.57
26.39,26.12,26.13,26.32
12.26,12.27,12.29,12.42
1.68,1.89,1.66,1.9
44.29,43.7,44.29,44.27
39.57,39.02,39.38,39.58
13.09,12.58,12.78,12.7
13.82,13.77,13.46,13.83
66.94,65.45,66.2,67.53
74.24,72.59,73.19,74.58
17.52,16.97,17.22,17.64
6.29,6.32,6.35,6.63
8,7.8,7.82,7.94
36.07,35.26,35.55,36.16
22.59,22.36,22.05,22.57
19.62,19.18,19.48,19.93
56.37,54.91,55.13,56.62
1.61,1.64,1.67,1.86
13.94,13.79,13.63,13.99
9.23,8.88,9.13,9.09
18.05,18.01,17.79,18.4
10.99,10.96,10.83,10.91
15.94,15.47,16.02,16.08
39,38.35,38.36,39.39
14.71,14.33,14.61,14.7
4.19,3.99,4.01,4.28
46.16,45.2,45.08,46.37
