R1_t1,R1_t2,R2_t1,R2_t2,R3_t1,R3_t2,R4_t1,R4_t2,R5_t1,R5_t2,R6_t1,R6_t2,R7_t1,R7_t2,R8_t1,R8_t2
8.7,8.94,9.11,9.23,8.86,9.13,8.86,8.96,8.79,8.76,8.76,8.69,8.73,8.93,8.82,8.76
9.54,9.71,9.46,9.51,9.71,9.61,9.49,9.06,9.49,9.49,9.4,9.39,9.57,9.64,9.51,9.41
56.24,56.3,56.03,56.82,55.68,56.86,56.65,56.11,55.98,56.1,55.85,56.12,56.29,55.85,56.12,56
15.51,15.38,15.29,15.29,15.04,15.64,15.61,15.43,15.16,15.18,15.24,15.19,15.14,15.28,15.21,15.24
26.04,25.8,25.97,26.16,25.47,26.18,25.92,25.72,25.51,25.61,25.58,25.48,25.67,25.68,25.57,25.56
25.53,25.48,25.41,25.68,25.16,25.77,25.38,25.17,25.06,25.13,25.18,25.02,25.15,25.24,25.17,25.15
44.78,44.98,44.7,45.21,44.25,45.11,44.71,44.26,44.46,44.61,44.46,44.3,44.75,44.6,44.46,44.37
36.91,36.99,36.89,36.95,36.58,36.97,36.91,36.58,36.5,36.63,36.55,36.41,36.81,36.73,36.56,36.45
45.91,46.14,45.96,46.35,45.42,46.17,46,45.77,45.59,45.77,45.65,45.51,45.93,45.83,45.66,45.59
10.12,9.92,10.05,9.93,9.83,10,9.93,9.93,9.77,9.8,9.93,9.76,9.73,9.96,9.89,9.87
25.46,25.36,25.48,25.83,25.27,25.64,25.45,25.29,25.18,25.16,25.23,25.14,25.31,25.45,25.17,25.22
1.91,1.79,1.7,1.7,1.83,2.01,2.09,1.89,1.81,1.88,1.88,1.92,1.94,1.7,1.85,1.84
32.8,32.88,32.88,32.94,32.58,32.9,32.8,32.65,32.41,32.45,32.54,32.39,32.62,32.76,32.47,32.51
24.97,24.69,24.63,25.03,24.45,25.45,24.82,24.62,24.58,24.88,24.66,24.8,24.76,24.66,24.96,24.72
12.89,13.23,13.05,12.93,13.17,13.43,13.31,13.22,13.11,13.26,13.19,13.26,13.35,13.08,13.18,13.19
23.35,23.63,23.31,23.8,23.3,24.01,23.79,23.57,23.4,23.54,23.39,23.56,23.62,23.47,23.57,23.46
27.82,27.93,27.98,28.48,27.71,28.17,28.01,27.85,27.76,27.81,27.76,27.65,27.93,27.92,27.75,27.7
60.11,60.05,59.83,60.28,59.49,60.56,60.09,59.7,59.5,59.63,59.59,59.35,59.85,59.67,59.43,59.39
20.25,20.23,19.96,20.35,19.74,20.39,20.5,19.8,19.87,19.88,19.91,19.97,19.97,19.83,19.86,19.94
24.99,24.47,24.58,24.8,24.21,25,25.02,24.5,24.58,24.64,24.63,24.76,24.69,24.63,24.55,24.66
7.99,7.95,7.74,8.05,7.63,7.93,7.88,7.64,7.62,7.91,7.71,7.84,7.77,7.73,7.78,7.79
20.43,20.47,20.37,20.84,20.08,20.67,20.74,20.33,20.21,20.61,20.35,20.52,20.47,20.31,20.49,20.41
